slug,name,district,official_url,instagram_url,address_if_real,latitude,longitude,source_url,source_type,status,note
goldust-spa-canggu,Goldust Spa,canggu,https://goldustspa.com/,https://www.instagram.com/goldustspa,,,,,,,
gravity-stretching-canggu,Gravity Stretching Canggu,canggu,https://bookgravity.com,,,,,,,,
guan-yin-yoga-canggu,Guan Yin Yoga Canggu,canggu,https://tuguhotels.com/hotels/bali/guan-yin-yoga-shala/,https://www.instagram.com/guanyinyogabali/,,,,,,,
the-shampoo-lounge-canggu,HairShop Canggu,canggu,https://www.hairshop.store/canggu,,,,,,,,
hippie-fish-pererenan-beach,Hippie Fish Pererenan Beach,canggu,https://hippie-fish.com/,https://www.instagram.com/hippiefishbali/,,,,,,,
home-by-chef-wayan,HOME by Chef Wayan,canggu,https://bychefwayan.com/,https://www.instagram.com/home.by.chefwayan/,,,,,,,
home-cafe-mengwi,HOME Cafe MENGWI,canggu,,https://www.instagram.com/homekikicafe/,,,,,,,
honey-kitchen,Honey Kitchen,canggu,,https://www.instagram.com/honeykitchenbali/,,,,,,,
house-of-orange-beauty-canggu-canggu,House of Orange Beauty Canggu,canggu,https://houseoforangebali.com/,https://www.instagram.com/houseoforangebali/,,,,,,,
hungry-bird-coffee,Hungry Bird Coffee Roaster,canggu,https://www.coffeeinsurrection.com/hungry-bird-coffee-roaster.html,https://www.instagram.com/hungrybirdcoffee/,,,,,,,
isla-by-earth-island,ISLA by Earth Island,canggu,https://earth-island.com/pages/islaislabyearthisland,https://www.instagram.com/earth___island/,,,,,,,
jaya-gym-jalan-raya-canggu,Jaya Gym Jalan Raya Canggu,canggu,,https://www.instagram.com/explore/locations/274786509/jaya-gymcanggu/,,,,,,,
jet-black-ginger-canggu-canggu,Jet Black Ginger Canggu,canggu,https://www.jetblackginger.com/pages/appointments,https://www.instagram.com/jet_black_ginger/,,,,,,,
ji-restaurant-bali,Ji Restaurant Bali,canggu,https://jirestaurantbali.com/,https://instagram.com/jirestaurantbali,,,,,,,
jm-taekwondo-bali,JM Taekwondo Bali,canggu,,https://www.instagram.com/rivasjhkim_bali/,,,,,,,
ju-bali,Ju Bali,canggu,https://ju-bali.com/,https://www.instagram.com/ju_bali/,,,,,,,
jungle-padel-canggu-canggu,Jungle Padel Canggu,canggu,https://junglepadel.com/,https://www.instagram.com/junglepadel/,,,,,,,
jungle-padel-canggu-shortcut,Jungle Padel Canggu Shortcut,canggu,https://junglepadel.com/canggu/,https://www.instagram.com/junglepadel/,,,,,,,
kopiten,Kopiten,canggu,,https://www.instagram.com/kopiten_coffee/,,,,,,,
la-brisa-bali,La Brisa Bali,canggu,https://labrisa-bali.com/,https://www.instagram.com/labrisabali/,,,,,,,
lolas-cantina-canggu,Lola’s Cantina Mexicana — Canggu,canggu,https://www.lolasbali.com/,https://www.instagram.com/lolasbali/,,,,,,,
loop-cafe,LOOP cafe,canggu,https://loopbali.com/,https://www.instagram.com/loopcafe.bali/,,,,,,,
luigis-hot-pizza,Luigi’s Hot Pizza,canggu,https://luigishotpizza.com/,https://www.instagram.com/luigishotpizzabali/,,,,,,,
lulu-bistrot,Lulu Bistrot,canggu,https://www.lulubistrot.com/,https://www.instagram.com/lulu.bistrot/,,,,,,,
luna-and-sol-pilates-yoga,Luna & Sol Pilates - Yoga,canggu,https://luna-solpilates.com/,https://www.instagram.com/lunaandsol_bali/,,,,,,,
lyma-beach,Lyma Beach,canggu,https://lymabeach.com/,https://www.instagram.com/lymabeach/,,,,,,,
mavammy,Mavammy,canggu,,https://www.instagram.com/mavammy/,,,,,,,
milk-and-madu-beach-road,Milk & Madu Beach Road,canggu,https://milkandmadu.com/,,,,,,,,
milk-and-madu-berawa,Milk & Madu Berawa,canggu,https://milkandmadu.com/,https://instagram.com/milkandmadu,,,,,,,
milu-by-nook,Milu by Nook,canggu,,https://www.instagram.com/milubynook/,,,,,,,
mission-flow-studio,Mission Flow Studio,canggu,https://missionflowstudio.com/,https://www.instagram.com/missionflowstudio/,,,,,,,
moana-fish-eatery,Moana Fish Eatery,canggu,,https://www.instagram.com/moana.bali/,,,,,,,
momento-daily-resto,Momento Daily Resto,canggu,,https://www.instagram.com/momento.bali/,,,,,,,
motion-cafe,Motion Cafe,canggu,https://www.motionfitnessbali.com/,https://www.instagram.com/motionfitnessfoods/,,,,,,,
nail-lesss-canggu,Nail Lesss Canggu,canggu,,https://www.instagram.com/nail_lesss/,,,,,,,
neighbourhood-food-berawa,Neighbourhood Food Berawa,canggu,https://www.neighbourhoodfood.co/,https://www.instagram.com/neighbourhoodbali/,,,,,,,
neighbourhood-food-seseh,Neighbourhood Food Seseh,canggu,https://www.neighbourhoodfood.co/,https://www.instagram.com/neighbourhoodbali/,,,,,,,
nirvana-life-bali-canggu,Nirvana Life Bali,canggu,https://nirvanalife.com/bali,https://www.instagram.com/nirvanalifebali/,,,,,,,
nirvana-strength-tibubeneng,Nirvana Strength Tibubeneng,canggu,https://nirvanalife.com/bali/,https://www.instagram.com/nirvanalifebali/,,,,,,,
nook-umalas,Nook Umalas,canggu,,https://www.instagram.com/nook_bali/,,,,,,,
nude-berawa,NÜDE Berawa,canggu,https://nude-bali.com/locations/berawa/,https://www.instagram.com/nudebali/,,,,,,,
nuna-bali,Nuna Bali,canggu,,,,,,,,,
obsidian-gym-bali-canggu,Obsidian Gym Bali,canggu,https://obsidian-bali.com,https://www.instagram.com/obsidian.bali/,,,,,,,
only-nails-pererenan,Only Nails Pererenan,canggu,https://onlynailsbali.com/,https://www.instagram.com/onlynailsbali/,,,,,,,
paed-thai-canggu,Paed Thai — Canggu,canggu,http://thewonderspace.com/paedthaicanggu/,https://www.instagram.com/paedthai/,,,,,,,
paradise-padel-bali,Paradise Padel Bali,canggu,,https://www.instagram.com/paradisepadelbali/,,,,,,,
pizza-fabbrica,Pizza Fabbrica,canggu,https://pizzafabbricabali.com/,https://www.instagram.com/pizzafabbricabali/,,,,,,,
porch,Porch,canggu,,https://www.instagram.com/porch.bali/,,,,,,,
poule-de-luxe-bali,Poule de Luxe Bali,canggu,https://www.pouledeluxe.fr/,https://www.instagram.com/pouledeluxebali/,,,,,,,
prana-padel,Prana Padel,canggu,https://app.playtomic.com/tenant/4b52e8ac-646c-4e33-998e-57b0633948f5,,,,,,,,
pranava-yoga,Pranava Yoga,canggu,https://www.matrabali.com/pranava-yoga,https://www.instagram.com/yoga_pranava/,,,,,,,
rite-bali,Rite Bali,canggu,https://ritebali.com/,https://www.instagram.com/rite.bali/,,,,,,,
riviera-bistro-berawa,Riviera Bistro Berawa,canggu,https://rivieragroupbali.com/riviera-bistro/,https://www.instagram.com/rivierabistro.berawa/,,,,,,,
riviera-cafe-cemagi,Riviera Cafe Cemagi,canggu,https://rivieragroupbali.com/riviera-cafe/,https://www.instagram.com/rivieracafe.cemagi/,,,,,,,
riviera-trattoria-pererenan,Riviera Trattoria Pererenan,canggu,https://rivieragroupbali.com/riviera-trattoria/,https://www.instagram.com/riviera.pererenan/,,,,,,,
rize-cafe,Rize Cafe,canggu,https://rize-bali.com/,https://www.instagram.com/rize.bali/,,,,,,,
s2s-crossfit,S2S Crossfit,canggu,https://s2scrossfit.com/,https://www.instagram.com/s2scrossfit_bali/,,,,,,,
samadi-bali,Samadi Bali,canggu,https://samadibali.com/,https://www.instagram.com/samadiyogacanggu/,,,,,,,
saya-club,Saya Club,canggu,https://sayaclub.com/,,,,,,,,
seabird-bistro-and-coworking-canggu-by-wonderspace,Seabird Bistro & Coworking Canggu by Wonderspace,canggu,https://thewonderspace.com/seabirdcanggu/,,,,,,,,
secret-spot-bali,Secret Spot,canggu,https://www.instagram.com/secretspot.bali/,https://www.instagram.com/secretspot.bali/,,,,,,,
sensorium-bali,Sensorium Bali,canggu,https://sensoriumbali.co.id/,https://www.instagram.com/sensorium_bali/,,,,,,,
