priority,slug,name,district,official_url,instagram_url,gmaps_short_link,street_address,area_note,latitude,longitude,source_url,source_type,status,note
1,face-therapy-spa-pererenan,Face Therapy Spa Pererenan,canggu,https://linktr.ee/facetherapy,https://www.instagram.com/face_therapy/,,,Badung / Pererenan,,,,,,
1,finns-beach-club,FINNS Beach Club,canggu,https://finnsbeachclub.com/,https://www.instagram.com/finnsbeachclub/,,,Tibubeneng / Canggu / Berawa near Finns,,,,,,
1,finns-recreation-club-finns-lifestyle-village,FINNS Recreation Club / FINNS Lifestyle Village,canggu,https://finnsrecclub.com/,https://instagram.com/finnsrecclub,,,Tibubeneng / Canggu / Berawa,,,,,,
1,fitness-plus-canggu,Fitness Plus Canggu,canggu,https://canggu.fitnessplusindonesia.co.id/,https://www.instagram.com/fitnessplus.canggu/,,,,,,,,,
1,flex-gym-bali,Flex Gym Bali,canggu,https://flexgym.co.id/,https://www.instagram.com/flexgym.id/,,,,,,,,,
1,glo-day-spa-salon-canggu-canggu,Glo Day Spa & Salon Canggu,canggu,https://www.glospabali.com/,https://www.instagram.com/glosalonandbeauty/,,,Canggu,,,,,,
1,goldust-beauty-facials-canggu,Goldust Beauty / Facials,canggu,https://goldustspa.com/,https://www.instagram.com/goldustspa,,,Canggu,,,,,,
1,goldust-spa-canggu,Goldust Spa,canggu,https://goldustspa.com/,https://www.instagram.com/goldustspa,,,Canggu,,,,,,
1,gravity-stretching-canggu,Gravity Stretching Canggu,canggu,https://bookgravity.com,,,,,,,,,,
1,guan-yin-yoga-canggu,Guan Yin Yoga Canggu,canggu,https://tuguhotels.com/hotels/bali/guan-yin-yoga-shala/,https://www.instagram.com/guanyinyogabali/,,,Canggu,,,,,,
1,the-shampoo-lounge-canggu,HairShop Canggu,canggu,https://www.hairshop.store/canggu,,https://maps.app.goo.gl/kGCz9j7,"Tegal Gundul Square, Jl. Pantai Berawa No.52 Unit 10, Tibubeneng, Kuta Utara, Bali 80361",Canggu,,,,,,
1,hippie-fish-pererenan-beach,Hippie Fish Pererenan Beach,canggu,https://hippie-fish.com/,https://www.instagram.com/hippiefishbali/,https://maps.app.goo.gl/a4kZUJDcX6grYce96?g_st=iw,,Pererenan / Mengwi / Pererenan Beach,,,,,,
1,home-by-chef-wayan,HOME by Chef Wayan,canggu,https://bychefwayan.com/,https://www.instagram.com/home.by.chefwayan/,https://maps.app.goo.gl/mET5aM7JhTn8TbwW8,"Jl. Pantai Pererenan No. 92, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351",,,,,,,
1,house-of-orange-beauty-canggu-canggu,House of Orange Beauty Canggu,canggu,https://houseoforangebali.com/,https://www.instagram.com/houseoforangebali/,,,Canggu,,,,,,
1,hungry-bird-coffee,Hungry Bird Coffee Roaster,canggu,https://www.coffeeinsurrection.com/hungry-bird-coffee-roaster.html,https://www.instagram.com/hungrybirdcoffee/,,"Jl. Segara Perancak No.86, Tibubeneng, Kuta Utara, Badung Regency, Bali 80361, Indonesia",,,,,,,
1,isla-by-earth-island,ISLA by Earth Island,canggu,https://earth-island.com/pages/islaislabyearthisland,https://www.instagram.com/earth___island/,https://maps.app.goo.gl/yQY19DNbKQmwKHkw7,,Canggu / Canggu shortcut / Subak Canggu,,,,,,
1,jet-black-ginger-canggu-canggu,Jet Black Ginger Canggu,canggu,https://www.jetblackginger.com/pages/appointments,https://www.instagram.com/jet_black_ginger/,,,Canggu,,,,,,
1,ji-restaurant-bali,Ji Restaurant Bali,canggu,https://jirestaurantbali.com/,https://instagram.com/jirestaurantbali,,,Canggu / Batu Bolong Beach,,,,,,
1,ju-bali,Ju Bali,canggu,https://ju-bali.com/,https://www.instagram.com/ju_bali/,,"80361, Jl. Bumbak Dauh No.8, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,jungle-padel-canggu-canggu,Jungle Padel Canggu,canggu,https://junglepadel.com/,https://www.instagram.com/junglepadel/,,,Canggu shortcut / verify branch,,,,,,
1,jungle-padel-canggu-shortcut,Jungle Padel Canggu Shortcut,canggu,https://junglepadel.com/canggu/,https://www.instagram.com/junglepadel/,,,Canggu / Canggu shortcut,,,,,,
1,la-brisa-bali,La Brisa Bali,canggu,https://labrisa-bali.com/,https://www.instagram.com/labrisabali/,https://maps.app.goo.gl/nWV1nkuvvL98YDpo9,,Canggu / Echo Beach,,,,,,
1,lolas-cantina-canggu,Lola’s Cantina Mexicana — Canggu,canggu,https://www.lolasbali.com/,https://www.instagram.com/lolasbali/,,,"Canggu Shortcut, Tibubeneng, Kuta Utara, Badung, Bali 80361, Indonesia",,,,,,
1,loop-cafe,LOOP cafe,canggu,https://loopbali.com/,https://www.instagram.com/loopcafe.bali/,,"Jl. Dalem Lingsir No.12, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,,,,,,
1,luigis-hot-pizza,Luigi’s Hot Pizza,canggu,https://luigishotpizza.com/,https://www.instagram.com/luigishotpizzabali/,,,Canggu/Batu Bolong/Berawa,,,,,,
1,lulu-bistrot,Lulu Bistrot,canggu,https://www.lulubistrot.com/,https://www.instagram.com/lulu.bistrot/,,,Canggu / Batu Bolong,,,,,,
1,luna-and-sol-pilates-yoga,Luna & Sol Pilates - Yoga,canggu,https://luna-solpilates.com/,https://www.instagram.com/lunaandsol_bali/,,,,,,,,,
1,lyma-beach,Lyma Beach,canggu,https://lymabeach.com/,https://www.instagram.com/lymabeach/,,,Pererenan / Mengwi / Pantai Lima / Seseh-Cemagi route,,,,,,
