venue_slug,venue_id,current_legacy_photo_url,extracted_storage_path,matching_submission_image_path,current_storage_object_path,current_project_target_url,object_exists,mime_type,file_size,source_project,target_project,source_bucket,target_bucket,proposed_database_update,rollback_value,submission_id,submission_status,validation_note
the-yoga-barn,68741f1a-2555-4bb1-974a-d16a8155c931,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,true,image/jpeg,318063,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url 68741f1a-2555-4bb1-974a-d16a8155c931: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-yoga-barn/7c697ae94bbf3b27bae8.jpg,4565f175-f9b0-4f04-9dee-ddb28dfaebbc,draft,EXACT_PATH_MATCH
ubud-yoga-centre,747cc036-129b-4eda-b397-7623c730c8a0,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,true,image/jpeg,171575,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url 747cc036-129b-4eda-b397-7623c730c8a0: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-yoga-centre/9ebf3a2ddec9109a8ce0.jpg,de0cbd96-b4e9-415b-836e-72754eaaddb6,draft,EXACT_PATH_MATCH
oneworld-ayurveda,3093b0d1-4740-4c13-823c-6183e833fedd,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,true,image/jpeg,120263,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url 3093b0d1-4740-4c13-823c-6183e833fedd: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/oneworld-ayurveda/dca548d2364f819b740e.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/oneworld-ayurveda/dca548d2364f819b740e.jpg,3c1614a7-eb10-4142-81fe-5284b1d5324e,draft,EXACT_PATH_MATCH
ubud-sari-health-resort,6d2f7ea7-fa9d-4138-8dc6-43a5cea3aff3,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,true,image/jpeg,1263579,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url 6d2f7ea7-fa9d-4138-8dc6-43a5cea3aff3: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-sari-health-resort/3a9c0a86e52782acd681.jpg,1c9f9770-ca9a-467c-a6ee-3c6987f735fb,draft,EXACT_PATH_MATCH
taksu-yoga-ubud,0d6c6141-85f5-49df-9706-4e18c8313f70,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,true,image/webp,126238,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url 0d6c6141-85f5-49df-9706-4e18c8313f70: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/taksu-yoga-ubud/1cddbffb07b7b7290f6e.webp,b3bcfe2b-ab2d-4019-8383-f8d6616de8f2,draft,EXACT_PATH_MATCH
mason,v_mason,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/mason/7f7e8cf9b1950ee98605.webp,draft/mason/7f7e8cf9b1950ee98605.webp,draft/mason/7f7e8cf9b1950ee98605.webp,draft/mason/7f7e8cf9b1950ee98605.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/mason/7f7e8cf9b1950ee98605.webp,true,image/webp,312096,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_mason: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/mason/7f7e8cf9b1950ee98605.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/mason/7f7e8cf9b1950ee98605.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/mason/7f7e8cf9b1950ee98605.webp,19d82845-09ca-4e6e-b851-b800eef9e510,draft,EXACT_PATH_MATCH
milk-and-madu-berawa,v_import_milk_and_madu_berawa,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,true,image/webp,302138,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_milk_and_madu_berawa: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/milk-and-madu-berawa/ebbecaf3032f0679bd41.webp,71ba0103-622f-4950-a506-bac3291c98a4,draft,EXACT_PATH_MATCH
deus-ex-machina,v_deus-ex-machina,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,true,image/jpeg,338707,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_deus-ex-machina: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/deus-ex-machina/9091f59ae6c2c529e805.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/deus-ex-machina/9091f59ae6c2c529e805.jpg,bd6013ed-40c2-4b73-b5ab-68044771c862,draft,EXACT_PATH_MATCH
ubud-traditional-spa,b9fd90b3-179a-4301-b722-99f005801f9e,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,true,image/jpeg,543613,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url b9fd90b3-179a-4301-b722-99f005801f9e: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ubud-traditional-spa/0e6e8e079db6035c7dc5.jpg,151777eb-770d-4946-9c32-59c81ecca630,draft,EXACT_PATH_MATCH
baked-berawa,v_import_baked_berawa,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,draft/baked-berawa/a493633f9afeff608ea5.jpg,draft/baked-berawa/a493633f9afeff608ea5.jpg,draft/baked-berawa/a493633f9afeff608ea5.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,true,image/jpeg,247489,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_baked_berawa: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,8407ceab-4007-44eb-9baa-10d04a52e70c,draft,EXACT_PATH_MATCH
