venue_slug,venue_id,original_photo_url,proposed_photo_url,rollback_sql,rollback_required
baked-berawa,v_import_baked_berawa,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/baked-berawa/a493633f9afeff608ea5.jpg' WHERE id = 'v_import_baked_berawa';,YES
revolver-canggu,v_import_revolver_canggu,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/revolver-canggu/a8f1fdc0b750a1dd9c7b.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/revolver-canggu/a8f1fdc0b750a1dd9c7b.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/revolver-canggu/a8f1fdc0b750a1dd9c7b.jpg' WHERE id = 'v_import_revolver_canggu';,YES
woods-bali,v_import_woods_bali,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/woods-bali/913a42dd146dadcf6196.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/woods-bali/913a42dd146dadcf6196.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/woods-bali/913a42dd146dadcf6196.jpg' WHERE id = 'v_import_woods_bali';,YES
motion-cafe,v_import_motion_cafe,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/motion-cafe/f15093c661cc68307dde.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/motion-cafe/f15093c661cc68307dde.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/motion-cafe/f15093c661cc68307dde.jpg' WHERE id = 'v_import_motion_cafe';,YES
single-fin,v_import_single_fin,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/single-fin/157b046eb0076d5ab2ce.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/single-fin/157b046eb0076d5ab2ce.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/single-fin/157b046eb0076d5ab2ce.webp' WHERE id = 'v_import_single_fin';,YES
oneeighty,v_import_oneeighty,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/oneeighty/0fa1897bd256a4d2c837.png,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/oneeighty/0fa1897bd256a4d2c837.png,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/oneeighty/0fa1897bd256a4d2c837.png' WHERE id = 'v_import_oneeighty';,YES
masonry-restaurant,v_import_masonry_restaurant,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/masonry-restaurant/1f2696b2a981983f8cb1.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/masonry-restaurant/1f2696b2a981983f8cb1.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/masonry-restaurant/1f2696b2a981983f8cb1.webp' WHERE id = 'v_import_masonry_restaurant';,YES
locavore-nxt,v_locavore-nxt,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/locavore-nxt/665011828b3745b36705.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/locavore-nxt/665011828b3745b36705.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/locavore-nxt/665011828b3745b36705.webp' WHERE id = 'v_locavore-nxt';,YES
room4dessert,v_room4dessert,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/room4dessert/90adb2562b1944594c0f.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/room4dessert/90adb2562b1944594c0f.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/room4dessert/90adb2562b1944594c0f.jpg' WHERE id = 'v_room4dessert';,YES
the-avocado-factory,v_import_the_avocado_factory,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-avocado-factory/bc0397f7498a13d77d8b.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-avocado-factory/bc0397f7498a13d77d8b.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-avocado-factory/bc0397f7498a13d77d8b.jpg' WHERE id = 'v_import_the_avocado_factory';,YES
