venue_id,venue_name,source_url,source_tier,date_crawled
obs-3fbd42663f,Lohkah Hotel & Spa Xiamen,https://spahotelsguide.com/xiamen,official_site,2026-08-25T01:39:11+00:00
obs-d05d262737,Earthbound,https://www.weekendnotes.com/high-tea-regent-club-spa,official_site,2026-08-25T01:39:11+00:00
obs-d05d262737,Earthbound,https://www.weekendnotes.com/reflexology-massage-at-earthbound-lovina-beach-bali/,official_site,2026-08-25T01:39:11+00:00
obs-d05d262737,Earthbound,https://www.weekendnotes.com/total-e-day-spa-wellness,official_site,2026-08-25T01:39:11+00:00
obs-d05d262737,Earthbound,https://www.weekendnotes.com/wensha-spa,official_site,2026-08-25T01:39:11+00:00
obs-d6477080f2,Munduk Moding Plantation Nature Resort and Spa,https://www.scottdunn.com/us/indonesia/hotels/munduk-moding-plantation-nature-resort-and-spa,official_site,2026-08-25T01:39:11+00:00
obs-d6477080f2,Munduk Moding Plantation Nature Resort and Spa,https://www.scottdunn.com/usa/hotels/grand-hyatt-kauai-resort-and-spa,official_site,2026-08-25T01:39:11+00:00
obs-b820192b72,Mahony Spa & Wellness,https://mundukheavenluxuryvillas.com/spa,official_site,2026-08-25T01:39:11+00:00
obs-b820192b72,Mahony Spa & Wellness,https://mundukheavenluxuryvillas.com/spa/,official_site,2026-08-25T01:39:11+00:00
obs-645c47c413,Sanak Retreat Bali,https://sanakbali.com/,official_site,2026-08-25T01:39:11+00:00
obs-645c47c413,Sanak Retreat Bali,https://sanakbali.com/spa-yoga,official_site,2026-08-25T01:39:11+00:00
obs-62b5f6288e,Mondo Surf & Lifestyle Village,https://mondosurfvillage.com/services/massage,official_site,2026-08-25T01:39:11+00:00
obs-62b5f6288e,Mondo Surf & Lifestyle Village,https://mondosurfvillage.com/services/massage/,official_site,2026-08-25T01:39:11+00:00
obs-ecfe40ad78,Bamboo Spa at Munduk Moding Plantation Nature Resort,https://www.gowabi.com/en/organization_services/relaxing-head-massage-with-vietnamese-keratin-spa-treatment-hot-oil,official_site,2026-08-25T01:39:11+00:00
obs-ecfe40ad78,Bamboo Spa at Munduk Moding Plantation Nature Resort,https://www.gowabi.com/en/places/health-wellness/kidney-examination-dialysis-kidney-disease-treatment-services,official_site,2026-08-25T01:39:11+00:00
obs-ecfe40ad78,Bamboo Spa at Munduk Moding Plantation Nature Resort,https://www.gowabi.com/en/provider/bamboo-spa-at-munduk-moding-plantation-nature-resort,official_site,2026-08-25T01:39:11+00:00
obs-ecfe40ad78,Bamboo Spa at Munduk Moding Plantation Nature Resort,https://www.gowabi.com/th/organization_services/glowsue-treatment,official_site,2026-08-25T01:39:11+00:00
obs-354599dd54,My Guide Bali,https://www.myguidebali.com/body-and-soul/chill-reflexology--acupressure,official_site,2026-08-25T01:39:11+00:00
obs-354599dd54,My Guide Bali,https://www.myguidebali.com/body-and-soul/jiwa-spa-at-the-conrad-bali,official_site,2026-08-25T01:39:11+00:00
obs-354599dd54,My Guide Bali,https://www.myguidebali.com/transport/shuttle-services,official_site,2026-08-25T01:39:11+00:00
obs-cc9ff83cf4,JANE’S HOUSE & SPA BEDUGUL BALI,https://www.searchspot.ai/places/jane-s-house-spa-bedugul-bali-indonesia,official_site,2026-08-25T01:39:11+00:00
obs-cc9ff83cf4,JANE’S HOUSE & SPA BEDUGUL BALI,https://www.searchspot.ai/places/vintage-green-rooftop-usa,official_site,2026-08-25T01:39:11+00:00
obs-b359d6c60b,Sanctua Bedugul,https://sanctua.id/services,official_site,2026-08-25T01:39:11+00:00
obs-b359d6c60b,Sanctua Bedugul,https://sanctua.id/services/couple-spa-massage,official_site,2026-08-25T01:39:11+00:00
obs-b359d6c60b,Sanctua Bedugul,https://sanctua.id/spa-wellness,official_site,2026-08-25T01:39:11+00:00
obs-b359d6c60b,Sanctua Bedugul,https://sanctua.id/spa-wellness/,official_site,2026-08-25T01:39:11+00:00
obs-7dd5402059,Wandernesia,https://www.wandernesia.com/bali-spa-massage,official_site,2026-08-25T01:39:11+00:00
obs-7dd5402059,Wandernesia,https://www.wandernesia.com/product/bali-spa-package-la-nusa-bali-spa,official_site,2026-08-25T01:39:11+00:00
obs-7dd5402059,Wandernesia,https://www.wandernesia.com/product/balinese-massage-home-service-bali/,official_site,2026-08-25T01:39:11+00:00
obs-7dd5402059,Wandernesia,https://www.wandernesia.com/product/thalasso-spa-bali,official_site,2026-08-25T01:39:11+00:00
obs-3135ac63bd,OKANA Spa,https://mycurlyadventures.com/a-spa-day-at-taman-air-spa-bali/,official_site,2026-08-25T01:39:11+00:00
